Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,xgb_importances,rf_importances,average_weight
0.016827217083555956,0.9923917391448521,-0.023154213214839587,0.09501352558300084,0.008312421786642288,0.006063204,0.00660027038162121,0.1574363092225503
0.35794959264818427,0.15056698726323783,0.2103402728319018,0.2962099542927702,0.15673841445628336,0.005238384,0.022288249864600287,0.171333122195055
0.039182489763446314,0.25368958989216167,0.12749934445181155,0.2850320147001565,0.0698113533339428,0.0099459505,0.013722414901685936,0.11412616535915279
0.6174031839071751,0.04600439083508393,-0.13237290161977203,0.10507567559646253,0.7488034701814398,0.0024705587,0.005032075838417907,0.19891663621155264
0.8927330061186344,-0.07090556595941482,0.05720856582048756,0.37660110911335337,0.11664608917666744,0.027746499,0.06918065475532854,0.2098871939442577
0.8512422000062607,-0.09770611288779368,0.10899555264102462,0.40829986611276203,-0.1003461852916442,0.0586822,0.051211843616323395,0.1829113376806413
-0.08381089122222382,0.2621852748743603,0.5156940678131936,0.2527753559768602,0.7344433485276267,0.008472168,0.005348980386339811,0.24215832917756433
0.36909323892683044,0.013630145262177906,0.14741409678752113,0.8823610248869161,0.24330741927908653,0.0273336,0.045605010649655976,0.24696350517696714
0.44680969330283904,-0.09748731423291809,-0.057516415535738906,0.8734452099647538,-0.04478172509073964,0.008444978,0.02851415317895394,0.16534693993019683
0.5819597767122787,-0.09428830957705775,0.05962160298280867,0.09523032426481802,-0.0986481365468226,0.010318003,0.023603411114726646,0.08254238165918636
0.6997601250793968,-0.1508238399586973,0.5210047453241661,0.1687149025757318,0.132697899433238,0.035071634,0.10129909480817151,0.21538922300259536
0.5906013556651546,-0.25512753559476814,0.540228426931767,0.19542849663938938,0.1331975913015103,0.006912854,0.031280286692844224,0.17750306795290727
0.17493748401283588,-0.5275937736137652,0.04154308312825797,0.13129512462709042,-0.05902141215565626,0.004256692,0.003471560758950734,-0.033015891636945696
0.4755880474274123,-0.16483381891641632,0.06962491179787898,-0.15313273894437146,-0.10953898430755313,0.006467587,0.003239161756892884,0.018202023666104013
0.595390352722802,-0.1308625249228693,0.22575770371718354,0.21818522624777498,0.14965232938755366,0.017751431,0.012146738269310769,0.1554316080734822
0.17073445429561337,-0.001976563393701819,0.26405595551261507,0.028207329777548903,0.09477174495915822,0.00415749,0.001801959502384474,0.0802503386786578
-0.2489740816817025,0.4806610742877256,-0.21566354596503923,-0.05066765453016984,-0.17735628596317082,0.0035719445,0.003579685615243193,-0.0292641233847174
0.02415536270399633,-0.43281971796494756,0.17163118092848995,0.11910538679953116,-0.07217735192767974,0.0091104135,0.005889924132257081,-0.025014971690946693
0.5807562542758092,0.11240900874831077,0.0803996320815692,0.04743967310295308,0.0272394599448729,0.0035510515,0.006527467181354863,0.12261750668873621
0.6563393157856579,-0.16702742978882415,0.6024907003342431,0.16816146211961674,0.13847351012325737,0.031365506,0.07531138118502323,0.2150163494442812
0.6893053957560488,0.1384514851592225,0.41789004493257703,0.2106255234403643,0.24891607568459936,0.17282678,0.14102937475853414,0.2884349545143258
0.681931024699769,0.02384267213144752,0.2593576587299015,0.24499537357948487,0.2409462201049758,0.15925492,0.09049051438869002,0.2429740552995909
0.4723646014363443,-0.2960242311021423,0.273406995386405,0.13858304566533686,0.20759924302134095,0.0064725536,0.004431202486792837,0.1152619157837504
0.5782105563853873,0.18628210709472182,0.1238370525857656,0.11369906007491463,0.0830590660625586,0.011113896,0.009334169895923988,0.15793370116198996
0.062718809002574,-0.019782350640156765,0.30766805055981766,-0.028176934256201495,-0.05071507356189297,0.006565965,0.004342481617873919,0.04037442107182317
0.1251588404612121,0.3525715858276012,0.37091493576678103,0.02669935158001989,0.05217474243615064,0.01110269,0.010663288440315716,0.13561220498193152
0.34390834002349324,0.36345488663367037,0.35028774705142746,0.14493723857280996,0.09291382507842137,0.014585613,0.011727668255142867,0.18883075984114991
0.6146764311835807,-0.19946835781845082,0.5719414373921494,0.15950536518307393,0.10012225609658722,0.04619869,0.05251773156522165,0.19221336457851965
0.7683012861425507,-0.10788426489589513,0.4688657034866292,0.1618263439120904,0.09267252328456106,0.1866427,0.09321279783335731,0.23766244230821273
0.5588488785282382,-0.19804993544290722,0.4787140910414808,0.15886278890041935,0.08848303596399788,0.044151876,0.0313417510851294,0.1660503551711597
-0.13478129071249,0.6296519528231882,0.168660363157268,0.10788176920152845,0.03629850692908714,0.016434686,0.009160411587676179,0.11904377132067047
0.46292950370272673,-0.015286567977513897,0.31143998373291454,0.07404209564706807,0.12190996320318777,0.009806353,0.010267188674938695,0.13930121709297608
0.3778164963523892,0.4672668948199859,-0.09251777521789689,0.29712396473234143,0.033997742190812905,0.010035602,0.009794258888871766,0.15764531202033846
0.016827217066192102,0.9923917391379583,-0.023154213228440995,0.09501352562994853,0.008312421776407156,0.017875483,0.00603283593144508,0.15904271565329556
